STR_Nr;Region;ASC_Standort;STR_Bezeichnung;Verkehrsstelle;GEB_Bezeichnung;GEB_Nr;Gps Lon;Gps Lat;ENT_Nr;Strasse;Nr;STR_km;Ort;Plz;Bl;Blitzschutz;Ableiter;Gebäudeart;SLT_Haus;M2_Geb;M2_Ueberdacht;Argus;Nbr;FI_Schalter
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ HBF WHZ 8;10007691;;;11048;NB;NB;189,81;LINZ;4020;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;12;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ HBF PUMPSTATION GAUMBERG;10007690;;;11047;NB;NB;189,8;LINZ;4020;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;13;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ HBF RS 9;10007689;;;11046;NB;NB;189,75;LINZ;4020;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;10;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 31 MONTAGEHALLE LOKKÄSTEN;0;;;11785;UNIONSTRASSE;24;188,151;LINZ;4020;O;BLITZSCHUTZ;9;Werkstätte;Nein;1217;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ HBF WHZ 7;10007688;;;11045;NB;NB;189,34;LINZ;4020;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;24;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ HBF RS 8;10007687;;;11044;NB;NB;189,23;LINZ;4020;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;10;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 32 MONTAGEHALLE DREHGESTELLE;0;;;11786;UNIONSTRASSE;24;188,152;LINZ;4020;O;BLITZSCHUTZ;10;Werkstätte;Nein;1749;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 35, 35A, 35C MONTAGEHALLE AB-U.AUFRÜST;0;;;11787;UNIONSTRASSE;24;188,155;LINZ;4020;O;BLITZSCHUTZ;13;Werkstätte;Nein;8450;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 37 FEDERHÄNGUNG-BÜRSTENKRANZHALLE;0;;;11788;UNIONSTRASSE;24;188,157;LINZ;4020;O;BLITZSCHUTZ;1;Werkstätte;Nein;1209;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 56 HALLE 5 LOKMONTIERUNG;0;;;11789;UNIONSTRASSE;24;188,176;LINZ;4020;O;BLITZSCHUTZ;10;Werkstätte;Nein;1549;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 57  VERLÄNGERUNG HALLE 5;0;;;11790;UNIONSTRASSE;24;188,177;LINZ;4020;O;BLITZSCHUTZ;3;Werkstätte;Nein;380;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 58 SÜDLICHES SEITENSCHIFF HALLE 5;0;;;11791;UNIONSTRASSE;24;188,178;LINZ;4020;O;BLITZSCHUTZ;6;Werkstätte;Nein;646;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 99 WASCHTECHNIK WASCHHALLE;0;;;11792;UNIONSTRASSE;24;188,219;LINZ;4020;O;BLITZSCHUTZ;1;Werkstätte;Nein;180;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 100 WASCHTECHNIK OG KABELKONFEKTIONIERUNG;0;;;11793;UNIONSTRASSE;24;188,22;LINZ;4020;O;BLITZSCHUTZ;2;Werkstätte;Nein;232;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 75 BÜROS ZUBRINGERHALLE;0;;;11794;UNIONSTRASSE;24;188,195;LINZ;4020;O;BLITZSCHUTZ;1;Werkstätte;Nein;258;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 76A, 76B, 76C Z-HALLE;0;;;11795;UNIONSTRASSE;24;188,196;LINZ;4020;O;BLITZSCHUTZ;17;Werkstätte;Nein;7065;210;Ja;Nein;
4041050;SAE-Nord;ASC Linz Hbf;BF.LINZ WEGSCHEID;Bahnhof;BF. WEGSCHEID RH 3;10007781;;;11146;NB;NB;5,36;LINZ;4020;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;12;;Ja;Nein;
4041050;SAE-Nord;ASC Linz Hbf;BF.LINZ WEGSCHEID;Bahnhof;BF. WEGSCHEID RH 5;10007779;;;11144;NB;NB;5,7;LINZ;4020;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;12;;Ja;Nein;
3101090;SAE-Nord;ASC Linz Hbf;BA.RUTZING;Betriebsausweiche;RUTZING TUNNEL 2;10007778;;;11143;NB;NB;11,62;TRAUN;4050;O;KEIN BLITZSCHUTZ;0;Schaltstation Tunnel;Nein;15;;Ja;Nein;
3101090;SAE-Nord;ASC Linz Hbf;BA.RUTZING;Betriebsausweiche;RUTZING TUNNEL 1;10007777;;;11142;NB;NB;9,76;TRAUN;4050;O;KEIN BLITZSCHUTZ;0;Schaltstation Tunnel;Nein;15;;Ja;Nein;
3101090;SAE-Nord;ASC Linz Hbf;BA.RUTZING;Betriebsausweiche;ÜST RUTZING WHZ;10007775;;;11140;NB;NB;6,89;TRAUN;4050;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
4041070;SAE-Nord;ASC Linz Hbf;BF.TRAUN;Bahnhof;BF. TRAUN WHZ 3;0;;;11139;NB;NB;9,25;TRAUN;4050;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
4041090;SAE-Nord;ASC Linz Hbf;H/LST.ANSFELDEN;nicht mehr in Verwendung;HST. ANSFELDEN WH 6;14257;;;11136;TRAUNUFERSTR.;177;10,355;ANSFELDEN;4052;O;KEIN BLITZSCHUTZ;0;Büro/Verwaltungsgebäude;Nein;89,72;;Nein;Nein;
4041130;SAE-Nord;ASC Linz Hbf;BF.NETTINGSDORF;Bahnhof;BF. NETTINGSDORF RS 3 Stromlos;10007770;;;11134;NB;NB;11,745;ANSFELDEN;4052;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Nein;Nein;
4041130;SAE-Nord;ASC Linz Hbf;BF.NETTINGSDORF;Bahnhof;BF. NETTINGSDORF RS 5 Stromlos;10007768;;;11132;NB;NB;12,33;ANSFELDEN;4052;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Nein;Nein;
4041130;SAE-Nord;ASC Linz Hbf;BF.NETTINGSDORF;Bahnhof;BF. NETTINGSDORF RS 6 Stromlos;10007767;;;11131;NB;NB;12,62;ANSFELDEN;4052;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Nein;Nein;
3042050;SAE-Nord;ASC Linz Hbf;BF.NEUHOFEN;Bahnhof;SCHALTHAUS SIDI RS 1;10007762;;;11123;NB;NB;18,648;NEUHOFEN AN DER KREMS;4501;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
3042050;SAE-Nord;ASC Linz Hbf;BF.NEUHOFEN;Bahnhof;SCHALTHAUS SIDI RS 2;10007761;;;11122;NB;NB;19,382;NEUHOFEN AN DER KREMS;4501;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
3042070;SAE-Nord;ASC Linz Hbf;BF.KEMATEN;Bahnhof;BF. KEMATEN SCHALTH. KS 2;10007758;;;11119;NB;NB;22,79;KEMATEN AN DER KREMS;4531;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
3042070;SAE-Nord;ASC Linz Hbf;BF.KEMATEN;Bahnhof;BF. KEMATEN SCHALTH. KS 1;10007757;;;11118;NB;NB;22,858;KEMATEN AN DER KREMS;4531;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
3042080;SAE-Nord;ASC Linz Hbf;KEMATEN-ROHR;Strecke;WÄRTERHAUS 15, KEMATEN;14261;;;11117;WINDEN;20;23,446;KEMATEN AN DER KREMS;4531;O;KEIN BLITZSCHUTZ;0;Büro/Verwaltungsgebäude;Nein;88,89;;Nein;Ja;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 40 KITT-WASCHHALLE;0;;;8474;UNIONSTRASSE;24;188,16;LINZ;4020;O;BLITZSCHUTZ;3;Werkstätte;Nein;505;;Ja;Nein;
4012010;SAE-Nord;ASC Linz Hbf;BF.LINZ HBF.;Bahnhof;LINZ TS WERK HG 34 MOTORZERLEGEHALLE (abgerissen);8,40025E+11;;;8477;UNIONSTRASSE;24;188,154;LINZ;4020;O;BLITZSCHUTZ;3;Werkstätte;Nein;1096;;Nein;Nein;
3042080;SAE-Nord;ASC Linz Hbf;KEMATEN-ROHR;Strecke;KEMATEN EK 23,632;10007756;;;11116;NB;NB;23,632;KEMATEN AN DER KREMS;4531;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
3042080;SAE-Nord;ASC Linz Hbf;KEMATEN-ROHR;Strecke;NEUKEMATEN EK 25,068;10007755;;;11115;NB;NB;25,068;KEMATEN AN DER KREMS;4531;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
3042090;SAE-Nord;ASC Linz Hbf;BF.ROHR;Bahnhof;BF. ROHR KS + WHZ 1;10007753;;;11113;NB;NB;28,2;ROHR IM KREMSTAL;4532;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
3043050;SAE-Nord;ASC Linz Hbf;BF.KREMSMÜNSTER MARKT;Bahnhof;BF. KREMSMÜNSTER WH 31;14267;;;11111;NB;NB;31,746;KREMSMÜNSTER;4550;O;KEIN BLITZSCHUTZ;0;Büro/Verwaltungsgebäude;Nein;82,24;;Nein;Ja;
3043050;SAE-Nord;ASC Linz Hbf;BF.KREMSMÜNSTER MARKT;Bahnhof;Kremsmünster EK km 33,006;10007752;;;11110;NB;NB;33,006;KREMSMÜNSTER;4550;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;15;;Ja;Nein;
3043110;SAE-Nord;ASC Linz Hbf;BA.KRIFT;Betriebsausweiche;SCHALTHAUS SIDI EK 35,786;10007750;;;11108;KRIFT;NB;35,786;KREMSMÜNSTER;4550;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;16;;Ja;Nein;
